U	nhole	site	x	y	observable	prior	true	Delta	relerr	G	dens	Sz
8.0	4	4	1	4	n	UHF	0.933764695688586	-0.06617758976866239	0.07087180536404951	0.017376557506839217	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	Sz	chi8	-0.011934980242051653	-0.023959679435528743	2.007517310427488	1.1262801823101172	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	Sz	chi32	-0.011934980242051653	-0.004953844465781043	0.41506934785921895	1.3477249603382353	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	Sz	exact	-0.011934980242051653	0.0	0.0	1.3779154526392217	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	Sz	UHF	-0.011934980242051653	0.4466563475817623	37.42413799798474	0.025857540407757	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	DoubleOcc	chi8	0.03864448909681184	0.009762402540541004	0.25262082042498524	31.742598369022655	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	DoubleOcc	chi32	0.03864448909681184	0.0036186078930482424	0.09363839392423942	59.800028137360286	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	DoubleOcc	exact	0.03864448909681184	0.0	0.0	63.602731444739575	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	DoubleOcc	UHF	0.03864448909681184	-0.0010206485093456619	0.026411230506599326	1.2806937161630148	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	ZZ onsite	chi8	-0.7129514349899242	0.1166689789902956	0.163642252844255	29.49972212943614	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	ZZ onsite	chi32	-0.7129514349899242	0.04035975571311745	0.0566094038560815	80.03469964402673	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	ZZ onsite	exact	-0.7129514349899242	0.0	0.0	97.97849341919222	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	ZZ onsite	UHF	-0.7129514349899242	0.12827258549994258	0.17991770435493323	25.568844760490943	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	ZZ up-up nb	chi8	0.11891013346129152	-0.006002906531689556	0.050482716291321506	2.5820181982650925	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	ZZ up-up nb	chi32	0.11891013346129152	-0.007876466418724123	0.06623881572959572	2.580920506834826	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	ZZ up-up nb	exact	0.11891013346129152	0.0	0.0	2.5731536410852143	0.933764695688586	-0.011934980242051653
8.0	4	4	1	4	ZZ up-up nb	UHF	0.11891013346129152	-0.6986060519890266	5.875075837976768	0.051845438715509576	0.933764695688586	-0.011934980242051653
