geometry	U	site	x	y	observable	prior	true	Delta	relerr	G	G_max	prior_fid	S_center
torus	8.0	9	3	1	ZZ up-up nb	UHFsym	-0.603050009091567	-0.2899374497229653	0.4807850847390357	4.009196438518215	31.1354891778068	1.0000000000000027	1.5690815497844373
torus	8.0	9	3	1	SzSz nb	chi4	-0.1447277065718126	0.04793455029443461	0.33120507074884037	9.86915193022462	50.45608351755826	0.3829123702363809	1.5690815497844373
torus	8.0	9	3	1	SzSz nb	chi8	-0.1447277065718126	0.024038918001767134	0.16609755361416742	29.83358994071306	50.45608351755826	0.5879253494917182	1.5690815497844373
torus	8.0	9	3	1	SzSz nb	chi32	-0.1447277065718126	0.01051442621068921	0.07264971206789658	51.353657878485194	50.45608351755826	0.8676193558453152	1.5690815497844373
torus	8.0	9	3	1	SzSz nb	exact	-0.1447277065718126	0.0	0.0	50.45608351755826	50.45608351755826	1.0000000000000027	1.5690815497844373
torus	8.0	9	3	1	SzSz nb	UHF	-0.1447277065718126	0.06123934297804695	0.42313489537444254	6.571315066451923	50.45608351755826	1.0000000000000027	1.5690815497844373
torus	8.0	9	3	1	SzSz nb	UHFsym	-0.1447277065718126	-0.07223281532463653	0.4990945896651464	3.5798131407009275	50.45608351755826	1.0000000000000027	1.5690815497844373
torus	8.0	10	3	2	n	chi4	1.0001368902543177	0.021156424605782043	0.021153528893832048	13.500629661981426	28.224132135885913	0.3829123702363809	1.5690815497844373
torus	8.0	10	3	2	n	chi8	1.0001368902543177	-0.0020481692548708352	0.0020478889188359213	20.15643155648245	28.224132135885913	0.5879253494917182	1.5690815497844373
torus	8.0	10	3	2	n	chi32	1.0001368902543177	0.0004895340240442803	0.0004894670207793257	28.286100155114415	28.224132135885913	0.8676193558453152	1.5690815497844373
torus	8.0	10	3	2	n	exact	1.0001368902543177	0.0	0.0	28.224132135885913	28.224132135885913	1.0000000000000027	1.5690815497844373
torus	8.0	10	3	2	n	UHF	1.0001368902543177	0.00013689025431773416	0.0001368715179408344	7.547131211088974	28.224132135885913	1.0000000000000027	1.5690815497844373
torus	8.0	10	3	2	n	UHFsym	1.0001368902543177	0.00013689025431773416	0.0001368715179408344	1.0000000000000002	28.224132135885913	1.0000000000000027	1.5690815497844373
