L	rho	site	prior	observable	true	Delta	G	G_max
14	ED	1	chi16	DoubleOcc	0.07125451111705669	-1.4282678352517397e-6	51.45910692936671	51.459537072987075
14	ED	1	chi32	DoubleOcc	0.07125451111705669	1.3362452036536077e-7	51.45957722821609	51.459537072987075
14	ED	1	exact	DoubleOcc	0.07125451111705669	2.0204987682959086e-10	51.459537072987075	51.459537072987075
14	ED	1	UHF	DoubleOcc	0.07125451111705669	0.012919864831850925	1.5321670299241148	51.459537072987075
14	ED	1	UHFsym	DoubleOcc	0.07125451111705669	0.012919864831850814	43.51371675263087	51.459537072987075
14	ED	1	chi2	ZZ onsite	-0.714981955531573	0.2850180444684267	6.10307934504693	106.06508918075592
14	ED	1	chi4	ZZ onsite	-0.714981955531573	-0.0003561074578983803	106.03230718825782	106.06508918075592
14	ED	1	chi8	ZZ onsite	-0.714981955531573	5.031159586876832e-5	106.06927887869803	106.06508918075592
14	ED	1	chi16	ZZ onsite	-0.714981955531573	-5.71290983508721e-6	106.06460644339919	106.06508918075592
14	ED	1	chi32	ZZ onsite	-0.714981955531573	5.344190372458257e-7	106.06513419159735	106.06508918075592
14	ED	1	exact	ZZ onsite	-0.714981955531573	8.137734930357965e-10	106.06508918075592	106.06508918075592
14	ED	1	UHF	ZZ onsite	-0.714981955531573	0.05167945932760121	70.48277597312624	106.06508918075592
14	ED	1	UHFsym	ZZ onsite	-0.714981955531573	0.05167945932760076	70.48277597312662	106.06508918075592
14	ED	1	chi2	ZZ up-up r=1	-0.8272710909225026	0.17272890907749705	20.26793947960651	222.58891182475418
14	ED	1	chi4	ZZ up-up r=1	-0.8272710909225026	0.09720469515151575	52.659343161743315	222.58891182475418
14	ED	1	chi8	ZZ up-up r=1	-0.8272710909225026	0.007594599524827439	216.00042079695768	222.58891182475418
14	ED	1	chi16	ZZ up-up r=1	-0.8272710909225026	0.0006409660533744921	222.33925011129008	222.58891182475418
14	ED	1	chi32	ZZ up-up r=1	-0.8272710909225026	2.823012197739061e-5	222.5791589320014	222.58891182475418
14	ED	1	exact	ZZ up-up r=1	-0.8272710909225026	3.2717015763239488e-9	222.58891182475418	222.58891182475418
14	ED	1	UHF	ZZ up-up r=1	-0.8272710909225026	0.05859306841405665	100.791386489559	222.58891182475418
14	ED	1	UHFsym	ZZ up-up r=1	-0.8272710909225026	-0.3864882444383285	4.5383217708849255	222.58891182475418
14	ED	1	chi2	SzSz r=1	-0.17539199440446396	0.07460800559553596	5.054643094375905	99.02344713755019
14	ED	1	chi4	SzSz r=1	-0.17539199440446396	0.02949570986399766	25.92390215425293	99.02344713755019
14	ED	1	chi8	SzSz r=1	-0.17539199440446396	0.0016347463843445764	98.3305070283273	99.02344713755019
14	ED	1	chi16	SzSz r=1	-0.17539199440446396	0.0001382372481937011	99.02717463790822	99.02344713755019
14	ED	1	chi32	SzSz r=1	-0.17539199440446396	6.274970224595666e-6	99.02389011349891	99.02344713755019
14	ED	1	exact	SzSz r=1	-0.17539199440446396	7.056386586157259e-10	99.02344713755019	99.02344713755019
14	ED	1	UHF	SzSz r=1	-0.17539199440446396	0.018783585813016312	46.76717795334532	99.02344713755019
14	ED	1	UHFsym	SzSz r=1	-0.17539199440446396	-0.09248674240007983	3.5256536322458847	99.02344713755019
14	ED	1	chi2	hop up r=1	0.637166992025662	0.637166992025662	1.0	69.80435539739564
14	ED	1	chi4	hop up r=1	0.637166992025662	-0.046760810279487974	48.86182296409498	69.80435539739564
14	ED	1	chi8	hop up r=1	0.637166992025662	-0.003465150539878392	69.38366292552814	69.80435539739564
14	ED	1	chi16	hop up r=1	0.637166992025662	-0.00034658483819516306	69.77495859889808	69.80435539739564
14	ED	1	chi32	hop up r=1	0.637166992025662	-1.2114218240322217e-5	69.80337603922531	69.80435539739564
14	ED	1	exact	hop up r=1	0.637166992025662	-1.5806096431703054e-9	69.80435539739564	69.80435539739564
14	ED	1	UHF	hop up r=1	0.637166992025662	0.1699157994822127	12.142110344410694	69.80435539739564
14	ED	1	UHFsym	hop up r=1	0.637166992025662	0.16991579948221236	12.142110344410737	69.80435539739564
14	DMRG	1	chi2	n	1.000000000002687	2.6872948311051914e-12	1.0000000218815794	0.9999999999897157
14	DMRG	1	chi4	n	1.000000000002687	3.466923415018641e-10	0.9999999998578745	0.9999999999897157
14	DMRG	1	chi8	n	1.000000000002687	5.189065843680396e-10	0.9999999987291643	0.9999999999897157
14	DMRG	1	chi16	n	1.000000000002687	-7.796607803811639e-11	0.9999999987168954	0.9999999999897157
14	DMRG	1	chi32	n	1.000000000002687	4.23091561785327e-11	1.0000000001538814	0.9999999999897157
14	DMRG	1	exact	n	1.000000000002687	0.0	0.9999999999897157	0.9999999999897157
14	DMRG	1	UHF	n	1.000000000002687	2.6884050541298166e-12	0.014650737725099467	0.9999999999897157
14	DMRG	1	UHFsym	n	1.000000000002687	2.688294031827354e-12	1.0000000000000038	0.9999999999897157
14	DMRG	1	chi2	Sz	4.672949527328996e-12	1.682767299809866e-8	1.0000000298833678	0.9999999999931931
14	DMRG	1	chi4	Sz	4.672949527328996e-12	-5.187677509788102e-10	0.9999999988789331	0.9999999999931931
14	DMRG	1	chi8	Sz	4.672949527328996e-12	-1.5938793132552753e-9	0.9999999968734186	0.9999999999931931
