L	site	observable	prior	true	prior_val	Delta	relerr	G	G_max
8	6	SxSx r=1	chi2	-0.06340708053936735	-3.970466940254533e-23	-0.06340708053936735	1.0	1.0	8.261491249537485
8	6	SxSx r=1	chi4	-0.06340708053936735	-6.617444900424222e-24	-0.06340708053936735	1.0	1.0	8.261491249537485
8	6	SxSx r=1	chi8	-0.06340708053936735	-0.06357248526102147	0.00016540472165411935	0.0026086159502553513	8.4855096479841	8.261491249537485
8	6	SxSx r=1	chi32	-0.06340708053936735	-0.06340742909795594	3.4855858858928723e-7	5.49715561139704e-6	8.261455584830875	8.261491249537485
8	6	SxSx r=1	exact	-0.06340708053936735	-0.06340708053936735	0.0	0.0	8.261491249537485	8.261491249537485
8	6	SxSx r=1	UHF	-0.06340708053936735	-0.0236348984674418	-0.03977218207192555	0.6272514320736203	2.224435048956326	8.261491249537485
8	6	SxSx r=1	UHFsym	-0.06340708053936735	-0.07263601800713988	0.009228937467772536	0.14555058187929967	4.785877151948057	8.261491249537485
8	7	ZZ onsite	chi2	-0.60389646202466	-0.9999999999999987	0.3961035379753387	0.6559129964884012	2.4629779044383455	84.26686595613444
8	7	ZZ onsite	chi4	-0.60389646202466	-0.6553933338986515	0.051496871873991545	0.08527433941464073	60.92526818929316	84.26686595613444
8	7	ZZ onsite	chi8	-0.60389646202466	-0.605905083547791	0.0020086215231310822	0.0033261024851790914	84.86922773740133	84.26686595613444
8	7	ZZ onsite	chi32	-0.60389646202466	-0.6038978024328904	1.3404082304102616e-6	2.2195994093363743e-6	84.2673153507856	84.26686595613444
8	7	ZZ onsite	exact	-0.60389646202466	-0.60389646202466	0.0	0.0	84.26686595613444	84.26686595613444
8	7	ZZ onsite	UHF	-0.60389646202466	-0.581238357425118	-0.022658104599541984	0.037519849882175244	69.98967289482621	84.26686595613444
8	7	ZZ onsite	UHFsym	-0.60389646202466	-0.5812383574251209	-0.022658104599539097	0.03751984988217046	69.98967289482859	84.26686595613444
8	7	SzSz r=1	chi2	-0.17714883473544857	-0.24999999999999967	0.0728511652645511	0.41124270093758136	5.8938868690097115	106.1448778444851
8	7	SzSz r=1	chi4	-0.17714883473544857	-0.20552138076288962	0.028372546027441048	0.1601621939529672	27.711571687239562	106.1448778444851
8	7	SzSz r=1	chi8	-0.17714883473544857	-0.17806357649799856	0.0009147417625499921	0.005163690542565825	105.94292269853236	106.1448778444851
8	7	SzSz r=1	chi32	-0.17714883473544857	-0.17714999677871607	1.1620432674996906e-6	6.559700317730392e-6	106.14508629889127	106.1448778444851
8	7	SzSz r=1	exact	-0.17714883473544857	-0.17714883473544857	0.0	0.0	106.1448778444851	106.1448778444851
8	7	SzSz r=1	UHF	-0.17714883473544857	-0.19417612370261944	0.017027288967170873	0.09611854908669974	57.78094863044161	106.1448778444851
8	7	SzSz r=1	UHFsym	-0.17714883473544857	-0.08289489756327093	-0.09425393717217764	0.532060723475461	3.5457481597032343	106.1448778444851
8	7	SxSx r=1	chi2	-0.1771488347421548	-0.23954620719913342	0.06239737245697863	0.35223134573704534	8.307260061512599	134.29104211565385
8	7	SxSx r=1	chi4	-0.1771488347421548	-0.20552138076288967	0.028372546020734885	0.16016219390904796	34.03994253485046	134.29104211565385
8	7	SxSx r=1	chi8	-0.1771488347421548	-0.1780831375830546	0.00093430284089982	0.005274112258540817	134.9702919500247	134.29104211565385
8	7	SxSx r=1	chi32	-0.1771488347421548	-0.17714982451416855	9.897720137652666e-7	5.58723411986259e-6	134.29228244364427	134.29104211565385
8	7	SxSx r=1	exact	-0.1771488347421548	-0.1771488347421548	0.0	0.0	134.29104211565385	134.29104211565385
8	7	SxSx r=1	UHF	-0.1771488347421548	-0.02729050099158106	-0.14985833375057372	0.8459459186886373	1.5024744942960895	134.29104211565385
8	7	SxSx r=1	UHFsym	-0.1771488347421548	-0.08293111406125521	-0.09421772068089958	0.5318562824194479	3.6721289193447615	134.29104211565385
