config	t_L	t_S	U	nu	nm	observable	true	prior	Delta	sd_std	sd_crm_old	sd_crm_new	G_emp	G_theo	HF_fid	gap
uniform	1.0	1.0	1.0	50	100	Sz1*Sz3	0.04044260068550767	0.05835260007300449	-0.017909999387496822	0.012096015695795855	0.009694683319911322	0.007409184695299113	2.6652861436188755	NaN	0.4934106094247347	0.04789623655216335
uniform	1.0	1.0	1.0	50	100	Fidelity	0.4934106094247347	1.0	-0.5065893905752653	0.13799397585486373	0.1305471571155443	0.1258917660200362	1.2015050581402325	NaN	0.4934106094247347	0.04789623655216335
uniform	1.0	1.0	1.0	50	1000	Z(1u)  |A|=1	-1.4155343563970746e-15	-0.5706116008233967	0.5706116008233952	0.00754582425440667	0.12051121510377755	0.12083523637111512	0.0038996549394620197	0.004585787253138549	0.4934106094247347	0.04789623655216335
uniform	1.0	1.0	1.0	50	1000	ZZ(1u,1d) |A|=2	-0.4220129110862928	-0.3255975989942397	-0.09641531209205312	0.18530524110001767	0.04354568286663568	0.04268076180624088	18.849988117640024	17.515636777027552	0.4934106094247347	0.04789623655216335
uniform	1.0	1.0	1.0	50	1000	ZZZZ(1,3) |A|=4	0.09721901073178123	0.019943992673121008	0.07727501805866022	0.13039962044276848	0.11328765381050772	0.10581422297737511	1.5186740086711181	1.498986037795439	0.4934106094247347	0.04789623655216335
uniform	1.0	1.0	1.0	50	1000	DoubleOcc site1	0.14449677222842686	0.16860060025143997	-0.024103828023013113	0.04666876445736899	0.043104995827676636	0.042934226951995925	1.1815315178344374	NaN	0.4934106094247347	0.04789623655216335
uniform	1.0	1.0	1.0	50	1000	Sz1*Sz3	0.04044260068550767	0.05835260007300449	-0.017909999387496822	0.010350528815144698	0.005223411528154977	0.005008037161363615	4.271594236153593	NaN	0.4934106094247347	0.04789623655216335
uniform	1.0	1.0	1.0	50	1000	Fidelity	0.4934106094247347	1.0	-0.5065893905752653	0.10215867127167252	0.11455232231349798	0.11461689248564197	0.7944255659711831	NaN	0.4934106094247347	0.04789623655216335
uniform	1.0	1.0	8.0	50	10	Z(1u)  |A|=1	-1.3611074073383023e-15	-0.9416017529408927	0.9416017529408913	0.0722223701755131	0.2084918797449867	0.20752184034002794	0.12111999757742653	0.14470190455956583	0.36959338366218447	0.3323165434020581
uniform	1.0	1.0	8.0	50	10	ZZ(1u,1d) |A|=2	-0.8700081083698958	-0.8866138611413623	0.016605752771466475	0.3381639720014523	0.08445428485965514	0.06772968105962605	24.92852663699113	28.391692381358226	0.36959338366218447	0.3323165434020581
uniform	1.0	1.0	8.0	50	10	ZZZZ(1,3) |A|=4	0.746769249715314	0.7800484328004686	-0.03327918308515465	0.9747517330610537	0.3972790262820554	0.3003387823507	10.533318119954773	13.12700789658195	0.36959338366218447	0.3323165434020581
uniform	1.0	1.0	8.0	50	10	DoubleOcc site1	0.032497972907526054	0.028346534714659342	0.0041514381928667125	0.09135542041497034	0.07380427123318344	0.07042736275989744	1.682619001916778	NaN	0.36959338366218447	0.3323165434020581
uniform	1.0	1.0	8.0	50	10	Sz1*Sz3	0.07264136388448178	0.2212271708776999	-0.14858580699321813	0.026138988164450944	0.04538597644345806	0.044585858569182256	0.34370296296766817	NaN	0.36959338366218447	0.3323165434020581
uniform	1.0	1.0	8.0	50	10	Fidelity	0.36959338366218447	1.0	-0.6304066163378155	0.29906881031993404	0.41348690164496643	0.38183840960619525	0.6134554389032323	NaN	0.36959338366218447	0.3323165434020581
uniform	1.0	1.0	8.0	50	100	Z(1u)  |A|=1	-1.3611074073383023e-15	-0.9416017529408927	0.9416017529408913	0.025757339277052007	0.1832725971341638	0.18366600041674772	0.019667287193467546	0.016636833844825092	0.36959338366218447	0.3323165434020581
