B	n_u	n_m	observable	pure	absA	prior	true	Delta	sd_std	sd_crm	G_emp	G_max	sd_std_theory	sd_crm_theory	nm_star
5000	10	500	DoubleOcc	false	0	chi2	0.10027732104750578	0.10027732104750578	0.14427919370539258	0.09743864441407368	2.1925269816308592	144.52878327199258	NaN	NaN	NaN
5000	10	500	DoubleOcc	false	0	chi4	0.10027732104750578	0.04168047383266396	0.14427919370539258	0.04207938470879779	11.75624563140216	144.52878327199258	NaN	NaN	NaN
5000	10	500	DoubleOcc	false	0	chi8	0.10027732104750578	0.000164670029318692	0.14427919370539258	0.012005459738078449	144.42747612842572	144.52878327199258	NaN	NaN	NaN
5000	10	500	DoubleOcc	false	0	chi32	0.10027732104750578	2.5929579957395532e-5	0.14427919370539258	0.012001775492036541	144.5161610116447	144.52878327199258	NaN	NaN	NaN
5000	10	500	DoubleOcc	false	0	exact	0.10027732104750578	0.0	0.14427919370539258	0.012001251399744492	144.52878327199258	144.52878327199258	NaN	NaN	NaN
5000	10	500	ZZ onsite	true	2	chi2	-0.5988907157880141	0.4011092842119831	0.5765741247040103	0.38787466902619244	2.209670210048455	282.2378553588784	0.53674059414641	0.36036831179200096	4.484443831299855
5000	10	500	ZZ onsite	true	2	chi4	-0.5988907157880141	0.1667218963897199	0.5765741247040103	0.16451391415215566	12.283016241466145	282.2378553588784	0.53674059414641	0.15294229770604617	25.95665557985754
5000	10	500	ZZ onsite	true	2	chi8	-0.5988907157880141	0.0006586799742634986	0.5765741247040103	0.03433554422308598	281.9826748749172	282.2378553588784	0.53674059414641	0.03398147916768857	1.6629726163126242e6
5000	10	500	ZZ onsite	true	2	chi32	-0.5988907157880141	0.000103719113789702	0.5765741247040103	0.03432168809290431	282.21040128126083	282.2378553588784	0.53674059414641	0.03397649842318817	6.706816481044408e7
5000	10	500	ZZ onsite	true	2	exact	-0.5988907157880141	0.0	0.5765741247040103	0.03432001876827897	282.2378553588784	282.2378553588784	0.53674059414641	0.03397637177476807	NaN
5000	10	500	ZZ up-up r=1	true	2	chi2	-0.43615457682117426	-0.07171029294962133	0.4029246615264017	0.07588898295360715	28.18968574327476	119.60982019399192	0.3919722393727117	0.07464232998204641	177.15392348562233
5000	10	500	ZZ up-up r=1	true	2	chi4	-0.43615457682117426	-0.13537199962080515	0.4029246615264017	0.1301684504182529	9.581560139220022	119.60982019399192	0.3919722393727117	0.12695687125272312	49.71140988142979
5000	10	500	ZZ up-up r=1	true	2	chi8	-0.43615457682117426	-0.009747202733221605	0.4029246615264017	0.03802173102380384	112.30107902310684	119.60982019399192	0.3919722393727117	0.03916108913335167	9588.568394630294
5000	10	500	ZZ up-up r=1	true	2	chi32	-0.43615457682117426	-0.0004756162267585684	0.4029246615264017	0.03684972939984954	119.55812443840873	119.60982019399192	0.3919722393727117	0.03818069540813029	4.0271744442134714e6
5000	10	500	ZZ up-up r=1	true	2	exact	-0.43615457682117426	0.0	0.4029246615264017	0.0368417652524249	119.60982019399192	119.60982019399192	0.3919722393727117	0.03817832543750834	NaN
5000	10	500	SzSz r=1	false	0	chi2	-0.0898879388012332	0.0012231321666550249	0.052945621503868674	0.008625016085519657	37.68254911755059	81.10294661575159	NaN	NaN	NaN
5000	10	500	SzSz r=1	false	0	chi4	-0.0898879388012332	-0.013452665049220033	0.052945621503868674	0.012717976452034369	17.33101779729654	81.10294661575159	NaN	NaN	NaN
5000	10	500	SzSz r=1	false	0	chi8	-0.0898879388012332	-0.0022027891418965467	0.052945621503868674	0.006077088703476332	75.90474930963829	81.10294661575159	NaN	NaN	NaN
5000	10	500	SzSz r=1	false	0	chi32	-0.0898879388012332	-9.11205247974417e-5	0.052945621503868674	0.005880024026958355	81.07778955772703	81.10294661575159	NaN	NaN	NaN
5000	10	500	SzSz r=1	false	0	exact	-0.0898879388012332	0.0	0.052945621503868674	0.005879112003507863	81.10294661575159	81.10294661575159	NaN	NaN	NaN
5000	10	500	hop up r=1	false	0	chi2	0.4440883514173588	0.4440883514173588	0.4885855426968042	0.4885855426968042	1.0	120.65599963508022	NaN	NaN	NaN
5000	10	500	hop up r=1	false	0	chi4	0.4440883514173588	0.4440883514173588	0.4885855426968042	0.4885855426968042	1.0	120.65599963508022	NaN	NaN	NaN
5000	10	500	hop up r=1	false	0	chi8	0.4440883514173588	0.010882164287152052	0.4885855426968042	0.0462404899876944	111.64425219918614	120.65599963508022	NaN	NaN	NaN
5000	10	500	hop up r=1	false	0	chi32	0.4440883514173588	0.00036244009992458803	0.4885855426968042	0.044488640960809754	120.60989677401196	120.65599963508022	NaN	NaN	NaN
5000	10	500	hop up r=1	false	0	exact	0.4440883514173588	0.0	0.4885855426968042	0.044480140556334466	120.65599963508022	120.65599963508022	NaN	NaN	NaN
5000	5	1000	n	false	0	chi2	0.9999999999890202	-1.0976997089073848e-11	0.015566578136739556	0.015566578842096846	0.9999999093754276	0.9999999913819704	NaN	NaN	NaN
5000	5	1000	n	false	0	chi4	0.9999999999890202	-5.295314187137024e-10	0.015566578136739556	0.015566579372718735	0.9999998412009344	0.9999999913819704	NaN	NaN	NaN
5000	5	1000	n	false	0	chi8	0.9999999999890202	7.150757763696447e-11	0.015566578136739556	0.015566578337607252	0.9999999741924408	0.9999999913819704	NaN	NaN	NaN
5000	5	1000	n	false	0	chi32	0.9999999999890202	-3.9698211384830984e-10	0.015566578136739556	0.015566578210953242	0.999999990464997	0.9999999913819704	NaN	NaN	NaN
5000	5	1000	n	false	0	exact	0.9999999999890202	0.0	0.015566578136739556	0.015566578203816172	0.9999999913819704	0.9999999913819704	NaN	NaN	NaN
5000	5	1000	Sz	false	0	chi2	1.498873095084896e-9	-1.4229547179445134e-8	0.010384544509108435	0.010384544386148463	1.000000023681342	1.0000000022695437	NaN	NaN	NaN
5000	5	1000	Sz	false	0	chi4	1.498873095084896e-9	-2.5912613312029098e-8	0.010384544509108435	0.010384544297939316	1.0000000406698868	1.0000000022695437	NaN	NaN	NaN
5000	5	1000	Sz	false	0	chi8	1.498873095084896e-9	-3.0038820458822e-9	0.010384544509108435	0.010384544473410102	1.0000000068752817	1.0000000022695437	NaN	NaN	NaN
5000	5	1000	Sz	false	0	chi32	1.498873095084896e-9	-4.5203188414610906e-11	0.010384544509108435	0.010384544499361026	1.0000000018772917	1.0000000022695437	NaN	NaN	NaN
5000	5	1000	Sz	false	0	exact	1.498873095084896e-9	0.0	0.010384544509108435	0.010384544497324346	1.0000000022695437	1.0000000022695437	NaN	NaN	NaN
5000	5	1000	DoubleOcc	false	0	chi2	0.10027732104750578	0.10027732104750578	0.2041042935305232	0.13626713111820188	2.243479243981638	293.7334819967843	NaN	NaN	NaN
5000	5	1000	DoubleOcc	false	0	chi4	0.10027732104750578	0.04168047383266396	0.2041042935305232	0.05741803506941849	12.635942145957664	293.7334819967843	NaN	NaN	NaN
5000	5	1000	DoubleOcc	false	0	chi8	0.10027732104750578	0.000164670029318692	0.2041042935305232	0.011902997818854502	294.0299521224174	293.7334819967843	NaN	NaN	NaN
5000	5	1000	DoubleOcc	false	0	chi32	0.10027732104750578	2.5929579957395532e-5	0.2041042935305232	0.011907779204327663	293.79387312484886	293.7334819967843	NaN	NaN	NaN
5000	5	1000	DoubleOcc	false	0	exact	0.10027732104750578	0.0	0.2041042935305232	0.011909003251472561	293.7334819967843	293.7334819967843	NaN	NaN	NaN
5000	5	1000	ZZ onsite	true	2	chi2	-0.5988907157880141	0.4011092842119831	0.8155274610331946	0.5442792176511183	2.245089585536942	567.5514611122744	0.7583050421633138	0.5085039296295127	4.484443831299855
